               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027654,           0.0097411,            0.015151,             0.85139,              0.7216,             0.75298,             0.59559,            0.013489,           0.0036262,            0.061106,            0.006535,            0.006535,            0.006535
                  37,            0.028483,           0.0095587,            0.014127,             0.88323,             0.67765,             0.75743,             0.59359,             0.01437,           0.0048186,            0.063428,            0.006436,            0.006436,            0.006436
                  38,            0.027698,           0.0098085,            0.014635,             0.87893,             0.73616,             0.75715,             0.62568,            0.012549,           0.0035802,            0.059223,            0.006337,            0.006337,            0.006337
                  39,            0.027587,            0.009664,            0.013597,             0.84592,             0.73013,             0.74248,             0.59255,             0.01353,           0.0037833,             0.06231,            0.006238,            0.006238,            0.006238
                  40,            0.027756,           0.0096882,            0.012901,             0.86735,             0.73272,             0.76161,             0.61776,            0.012084,           0.0035451,            0.060904,            0.006139,            0.006139,            0.006139
                  41,            0.027337,           0.0097017,            0.013014,             0.87464,             0.75205,             0.74954,             0.59001,            0.014384,           0.0041703,            0.063162,             0.00604,             0.00604,             0.00604
                  42,            0.027977,           0.0095442,            0.012658,             0.84428,             0.75672,             0.74884,             0.60789,            0.012781,           0.0037125,            0.058116,            0.005941,            0.005941,            0.005941
                  43,            0.027313,           0.0094433,            0.012125,             0.85338,             0.73989,             0.73463,             0.59154,             0.01334,           0.0034582,            0.062448,            0.005842,            0.005842,            0.005842
                  44,            0.027207,           0.0095333,            0.012825,             0.86648,              0.7442,             0.73861,             0.59438,             0.01268,           0.0037497,            0.061157,            0.005743,            0.005743,            0.005743
                  45,             0.02695,            0.009415,            0.010848,             0.84972,             0.75877,             0.73433,             0.60456,            0.012245,           0.0035881,            0.060219,            0.005644,            0.005644,            0.005644
                  46,            0.026811,           0.0093841,            0.011132,             0.89679,             0.73845,             0.77398,             0.64091,            0.012538,           0.0036638,            0.061028,            0.005545,            0.005545,            0.005545
                  47,            0.026152,           0.0093027,            0.010581,             0.87867,              0.7269,              0.7635,             0.61893,             0.01321,           0.0039902,            0.062581,            0.005446,            0.005446,            0.005446
                  48,            0.026094,           0.0092946,            0.010708,             0.87619,             0.74999,             0.74214,             0.61026,            0.012356,           0.0036557,            0.062604,            0.005347,            0.005347,            0.005347
                  49,             0.02574,           0.0091767,            0.011692,              0.8742,             0.74685,             0.77366,             0.63216,            0.012322,           0.0034944,            0.062954,            0.005248,            0.005248,            0.005248
                  50,            0.026291,           0.0094246,            0.011137,             0.86005,             0.76953,             0.74569,             0.60392,            0.012347,           0.0036889,            0.065619,            0.005149,            0.005149,            0.005149
                  51,             0.02582,           0.0091902,            0.010963,             0.86281,             0.75802,             0.75509,             0.61545,            0.012075,           0.0036382,            0.066328,             0.00505,             0.00505,             0.00505
                  52,            0.026044,           0.0092386,             0.01109,             0.88986,             0.76561,             0.74556,             0.61102,            0.012055,           0.0037908,            0.063115,            0.004951,            0.004951,            0.004951
                  53,             0.02538,            0.008966,             0.01092,             0.89946,             0.74384,             0.75239,             0.62027,            0.011609,           0.0035197,            0.061591,            0.004852,            0.004852,            0.004852
                  54,            0.024803,           0.0089442,            0.010228,             0.88101,             0.77194,             0.72654,             0.59638,            0.012365,            0.003755,             0.06571,            0.004753,            0.004753,            0.004753
                  55,            0.025485,           0.0090914,           0.0097262,             0.88126,             0.76439,             0.73557,             0.61246,            0.011324,           0.0033963,            0.063175,            0.004654,            0.004654,            0.004654
                  56,            0.024826,           0.0090791,           0.0093355,             0.87818,             0.76374,             0.75198,             0.60943,            0.012377,           0.0038081,            0.062108,            0.004555,            0.004555,            0.004555
                  57,            0.024531,           0.0088661,           0.0096762,             0.81976,             0.74217,             0.74954,             0.62875,            0.011616,           0.0035797,            0.063767,            0.004456,            0.004456,            0.004456
                  58,            0.024485,           0.0089321,           0.0089355,             0.86665,             0.76619,             0.76555,             0.63522,            0.011495,           0.0034485,            0.063595,            0.004357,            0.004357,            0.004357
                  59,             0.02468,           0.0089368,           0.0092712,             0.85803,             0.75851,             0.74781,             0.61715,            0.011605,           0.0036161,            0.065575,            0.004258,            0.004258,            0.004258
                  60,            0.024146,           0.0087869,           0.0089871,              0.8603,             0.76207,             0.77458,             0.63959,            0.011716,           0.0035696,            0.062095,            0.004159,            0.004159,            0.004159
                  61,            0.023928,           0.0086243,           0.0084729,             0.89361,             0.75969,             0.77116,             0.64835,            0.011407,           0.0037315,            0.062618,             0.00406,             0.00406,             0.00406
                  62,            0.024368,           0.0086273,           0.0088593,             0.85859,             0.76112,             0.74939,             0.62716,            0.011128,           0.0034199,            0.065371,            0.003961,            0.003961,            0.003961
                  63,             0.02369,           0.0085593,           0.0085053,             0.85955,             0.73782,             0.75326,             0.63842,            0.011145,           0.0033629,            0.064775,            0.003862,            0.003862,            0.003862
                  64,            0.023669,           0.0087136,           0.0077259,             0.87599,              0.7551,             0.76519,             0.64181,            0.011246,           0.0036145,            0.063665,            0.003763,            0.003763,            0.003763
                  65,             0.02379,           0.0084138,           0.0070637,             0.88385,             0.74631,             0.75661,             0.62505,            0.011656,           0.0037718,             0.06771,            0.003664,            0.003664,            0.003664
                  66,            0.022922,           0.0088011,           0.0070817,             0.83495,             0.76115,              0.7297,             0.61667,            0.011221,           0.0034907,            0.065956,            0.003565,            0.003565,            0.003565
